,ent_h,rel,ent_t
1230,throwing_ball,is_a,playing_ball
1231,tips,is_a,advice
1232,toddler,is_a,kid
1233,toddler_bed,is_a,tips
1234,toddler_stage,is_a,growth_stage
1235,toddler_stage,is_a,monthly_stage
1236,toddler_stage,is_not,0_month_old
1237,toddler_stage,is_not,10_month_old
1238,toddler_stage,is_not,11_month_old
1239,toddler_stage,is_not,12_month_old
1240,toddler_stage,is_not,1_month_old
1241,toddler_stage,is_not,2_month_old
1242,toddler_stage,is_not,3_month_old
1243,toddler_stage,is_not,4_month_old
1244,toddler_stage,is_not,5_month_old
1245,toddler_stage,is_not,6_month_old
1246,toddler_stage,is_not,7_month_old
1247,toddler_stage,is_not,8_month_old
1248,toddler_stage,is_not,9_month_old
1249,tofu,is_a,protein
1250,toothbrushing,is_a,hygiene_training
1251,touch,is_a,five_senses
1252,transition_trouble,is_a,cognitive_behavior
1253,truning_head_to_the_voice,is_a,auditory_sense
1254,turkey,is_a,protein
1255,turn_off_tv_before_bed,is_a,tips
1256,two_year_medical_checkup,is_a,checklist
1257,understanding,is_a,doing
1258,understanding_range_of_sounds,is_a,auditory_sense
1259,understanding_words,is_a,etc
1260,unknown_environment,is_a,cause
1261,unresponsive_sleep,is_a,night_terror
1262,using_potty,is_a,potty_training
1263,using_spoon,is_a,eating
1264,varing_in_development,is_a,development
1265,vegetable,is_a,food
1266,violent_behavior,is_a,behavior
1267,vision,is_a,five_senses
1268,vitamin_supplement,is_a,nutritional_supplement
1269,vomiting,is_a,illness
1270,waiting_child_get_used_to,is_a,tips
1271,waking_up_screaming,is_a,night_terror
1272,waking_up_too_early,is_a,sleep_behavior
1273,waking_up_too_often,is_a,sleep_behavior
1274,walking,is_a,motor_skill
1275,walking_around_using_furniture,is_a,walking
1276,walking_backwards,is_a,motor_skill
1277,walking_game,is_a,activity
1278,walking_well,is_a,walking
1279,washing_hair_once_a_week,is_a,checklist
1280,watching_objects_as_they_move,is_a,vision
1281,water,is_a,food
1282,weaning,is_a,eating
1283,well_feed_and_well_rest,is_a,tips
1284,whining,is_a,social_behavior
1285,whining_and_other_annoying_things,is_a,behavior
1286,whole_milk,is_a,milk
1287,whole_wheat_pasta,is_a,pasta
1288,wondering_and_crossing_eye,is_a,vision
1289,yogurt,is_a,diary
1290,zucchini,is_a,vegetable
