class,relations,value,
baby,cannoteat,alcohol,
baby,cannoteat,honey,
baby,cannoteat,caffeine,
baby,notatlocation,club,
baby,notatlocation,pub,
baby,notatlocation,bar,
electronics,isdangerousfor,baby,
battery,isdangerousfor,baby,
knife,isdangerousfor,baby,
fire,isdangerousfor,baby,
